,primaryArrest,primaryCorrectionalLabour,primaryDisqualification,primaryImprisonment,primaryCommunityService,primaryRestrictionsInMilitaryService,primaryRestrain,primaryRestrain2009,primaryLifeSentence,primaryForcedLabour,primaryMilitaryDisciplinaryUnit,primaryOther,primarySuspended,primaryFine,totalConvicted,noCrimeNecessity,noCrimeSelf-defence,noCrimeOther,addDisqualification,addTitlesWithdraw,addRestrain,addFine,acquittal,exemptionOther,exemptionFromImprisonment,exemptionAmnesty,exemptionTimeServedFromImprisonment,exemptionTimeServedOther,exemptionAmnestyFromImprisonment,exemptionAmnestyOther,exemptionOtherGroundsFromImprisonment,exemptionOtherGroundsOther,dismissalRepentance,dismissalAbsenceOfEvent,dismissalReconciliation,dismissalRepentance2,dismissalCourtFine,dismissalAmnesty,dismissalOther,unfinishedOffence,coerciveMeasures,clause,corruption,primaryImprisonment1,primaryImprisonment1_3,primaryImprisonment3_5,primaryImprisonment5_8,primaryImprisonment8_10,primaryImprisonment10_15,primaryImprisonment15_20,primaryImprisonmentUnderLowerLimit
2009,,исправительные работы(2009),лишение права занимать опр. должности или заниматься опр. деятельностью,лишение свободывсего(2009),обязательные работы(2009),,,"ограничение свободы/ограничение по воен. службе, содерж. в дисц. в/ч",пожизненное лишение свободы(2009),,,условное осуждение к иным мерам(2009),условное осуждение к лишению свободы(2009),штраф(2009),всего осуждено(2009),,,,,,,,оправдано(2009),по приговору освобождено осужденных от наказания по другим основаниям от иных мер,по приговору освобождено осужденных от наказания по др. основаниям от лишения свободы(2009),по приговору освобождено осужденных от наказания по амнистии(2009),,,,,,,в связи с деятельным раскаянием(2009),"прекращено за отсутствием состава, события, непричастности к преступлению",за примирением с потерпевшим(2009),,,по амнистии(2009),по другим основаниям(2009),,принудительные меры к невменяемым(2009),статьи ук рф(2009),из числа осужденных имеется коррупционный мотив,до 1 года вкл.,свыше 1 до 3 лет вкл.,свыше 3 до 5 лет вкл.,свыше 5 до 8 лет вкл.,свыше 8 до 10 лет вкл.,свыше 10 до 15 лет вкл.,свыше 15 до 20 лет вкл.,наказание назначено ниже низшего предела лишение свободы
2010,арест(2010),исправительные работы(2010),лишение права занимать опр. должности или заниматься опр. деятельностью,лишение свободы всего(2010),обязательные работы(2010),ограничение по воен. службе,ограничение свободы(2010),,пожизненное лишение свободы(2010),,содержание в дисциплинарной воинской части(2010),условное осуждение к иным мерам(2010),условное осуждение к лишению свободы(2010),штраф(2010),всего осуждено(2010),,,,дополнительное наказание - лишение права занимать опр. должности или заниматься опр. деятельностью(2010),"дополнительное наказание - лишение специального, воинского или почетного звания, классного чина и государственных наград(2010)",дополнительное наказание  - ограничение свободы(2010),дополнительное наказание - штраф(2010),оправдано(2010),по приговору освобождено осужденных от наказания по другим основаниям от иных мер,по приговору освобождено осужденных от наказания по др. основаниям от лишения свободы(2010),по приговору освобождено осужденных от наказания по амнистии(2010),,,,,,,в связи с деятельным раскаянием(2010),"прекращено за отсутствием состава, события, непричастности к преступлению",за примирением с потерпевшим(2010),прекращено на основании примечаний к статьям ук (в связи с деятельным раскаянием ч.2 ст. 28 упк рф)(2010),,по амнистии(2010),по другим основаниям(2010),,принудительные меры к невменяемым(2010),статьи ук рф(2010),из числа осужденных имеется коррупционный мотив,до 1 года вкл.,свыше 1 до 3 лет вкл.,свыше 3 до 5 лет вкл.,свыше 5 до 8 лет вкл.,свыше 8 до 10 лет вкл.,свыше 10 до 15 лет вкл.,свыше 15 до 20 лет вкл.,наказание назначено ниже низшего предела лишение свободы
2011,арест(2011),исправительные работы(2011),лишение права занимать опр. должности или заниматься опр. деятельностью,лишение свободы(2011),обязательные работы(2011),ограничение по воен. службе,ограничение свободы(2011),,пожизненное лишение свободы(2011),,содержание в дисциплинарной воинской части(2011),условное осуждение к иным мерам(2011),условное осуждение к лишению свободы(2011),штраф(2011),всего осуждено(2011),,,,дополнительное наказание - лишение права занимать опр. должности или заниматься опр. деятельностью(2011),"дополнительное наказание - лишение специального, воинского или почетного звания, классного чина и государственных наград(2011)",дополнительное наказание  - ограничение свободы(2011),дополнительное наказание - штраф(2011),оправдано(2011),по приговору освобождено осужденных от наказания по другим основаниям - от иных мер или наказание не назначалось(2011),по приговору освобождено осужденных от наказания по др. основаниям от лишения свободы(2011),по приговору освобождено осужденных от наказания по амнистии(2011),,,,,,,в связи с деятельным раскаянием(2011),"прекращено за отсутствием состава, события, непричастности к преступлению",за примирением с потерпевшим(2011),прекращено на основании примечаний к статьям ук (в связи с деятельным раскаянием ч.2 ст. 28 упк рф)(2011),,по амнистии(2011),по другим основаниям(2011),,принудительные меры к невменяемым(2011),статьи ук рф(2011),из числа осужденных имеется коррупционный мотив,,,,,,,,
2012,арест(2012),исправительные работы(2012),лишение права занимать опр. должности или заниматься опр. деятельностью,лишение свободы(2012),обязательные работы(2012),ограничение по воен. службе,ограничение свободы(2012),,пожизненное лишение свободы(2012),,содержание в дисциплинарной воинской части(2012),условное осуждение к иным мерам(2012),условное осуждение к лишению свободы(2012),штраф(2012),всего осуждено(2012),,,,дополнительное наказание - лишение права занимать опр. должности или заниматься опр. деятельностью(2012),"дополнительное наказание - лишение специального, воинского или почетного звания, классного чина и государственных наград(2012)",дополнительное наказание  - ограничение свободы(2012),дополнительное наказание - штраф(2012),оправдано(2012),по приговору освобождено осужденных от наказания по другим основаниям - от иных мер или наказание не назначалось(2012),по приговору освобождено осужденных от наказания по др. основаниям от лишения свободы(2012),по приговору освобождено осужденных от наказания по амнистии(2012),,,,,,,в связи с деятельным раскаянием(2012),"прекращено за отсутствием состава, события, непричастности к преступлению",за примирением с потерпевшим(2012),прекращено на основании примечаний к статьям ук (в связи с деятельным раскаянием ч.2 ст. 28 упк рф)(2012),,по амнистии(2012),по другим основаниям(2012),,принудительные меры к невменяемым(2012),статьи ук рф(2012),из числа осужденных имеется коррупционный мотив,,,,,,,,
2013,арест(2013),исправительные работы(2013),лишение права занимать опр. должности или заниматься опр. деятельностью,лишение свободы(2013),обязательные работы(2013),ограничение по воен. службе,ограничение свободы(2013),,пожизненное лишение свободы(2013),,содержание в дисциплинарной воинской части(2013),условное осуждение к иным мерам(2013),условное осуждение к лишению свободы(2013),штраф(2013),всего осуждено лиц(2013),"деяние совершено при обстоятельствах, исключающих преступность крайняя необходимость(статья 39 ук рф)(2013)","деяние совершено при обстоятельствах, исключающих преступность необходимая оборона (статья 37 ук рф)(2013)","деяние совершено при обстоятельствах, исключающих преступность обстоятельства, предусмотренные статьями 38, 40 - 42 ук рф(2013)",дополнительное наказание - лишение права занимать опр. должности или заниматься опр. деятельностью(2013),"дополнительное наказание - лишение специального, воинского или почетного звания, классного чина и государственных наград(2013)",дополнительное наказание  - ограничение свободы(2013),дополнительное наказание - штраф(2013),оправдано лиц(2013),по приговору освобождено осужденных от наказания по другим основаниям - от иных мер или наказание не назначалось(2013),по приговору освобождено осужденных от наказания по др. основаниям от лишения свободы(2013),по приговору освобождено осужденных от наказания по амнистии(2013),,,,,,,прекращено в связи с деятельным раскаянием(2013),"прекращено за отсутствием состава, события, непричастности к преступлению",прекращено за примирением с потерпевшим(2013),прекращено на основании примечаний к статьям ук (в связи с деятельным раскаянием ч.2 ст. 28 упк рф)(2013),,прекращено по амнистии(2013),прекращено по другим основаниям(2013),"преступление не является оконченным (приготовление, покушение)(2013)",принудительные меры к невменяемым(2013),статьи ук рф(2013),,,,,,,,,
2014,арест(2014),исправительные работы(2014),лишение права занимать опр. должности или заниматься опр. деятельностью,лишение свободы(2014),обязательные работы(2014),ограничение по воен. службе,ограничение свободы(2014),,пожизненное лишение свободы(2014),принудительные работы(2014),содержание в дисциплинарной воинской части(2014),условное осуждение к иным мерам(2014),условное осуждение к лишению свободы(2014),штраф(2014),всего осуждено(2014),"деяние совершено при обстоятельствах, исключающих преступность крайняя необходимость (статья 39 ук рф)","деяние совершено при обстоятельствах, исключающих преступность необходимая оборона (статья 37 ук рф)(2014)","деяние совершено при обстоятельствах, исключающих преступность обстоятельства, предусмотренные статьями 38, 40 42 ук рф",дополнительное наказание лишение права занимать опр. должности или заниматься опр. деятельностью,"дополнительное наказание - лишение специального, воинского или почетного звания, классного чина и государственных наград(2014)",дополнительное наказание  - ограничение свободы(2014),дополнительное наказание - штраф(2014),оправдано(2014),по приговору освобождено осужденных от наказания по другим основаниям от иных мер или наказание не назначалось,по приговору освобождено осужденных от наказания по др. основаниям от лишения свободы(2014),по приговору освобождено осужденных от наказания по амнистии(2014),,,,,,,прекращено в связи с деятельным раскаянием(2014),"прекращено за отсутствием состава, события, непричастности к преступлению",прекращено за примирением с потерпевшим(2014),из графы 22 прекращено на основании примечаний к статьям ук (в связи с деятельным раскаянием ч.2 ст. 28 упк рф)(2014),,прекращено по амнистии(2014),прекращено по другим основаниям(2014),"преступление не является оконченным (приготовление, покушение)(2014)",принудительные меры к невменяемым(2014),статьи ук рф(2014),,,,,,,,,
2015,виды основного наказания арест(2015),виды основного наказания исправительные работы(2015),виды основного наказания лишение права занимать опр. должности или заниматься опр. деятельностью (основное наказание),виды основного наказания лишение свободы(2015),виды основного наказания обязательные работы(2015),виды основного наказания ограничение по воен. службе(2015),виды основного наказания ограничение свободы (осн. наказание)(2015),,виды основного наказания пожизненное лишение свободы(2015),виды основного наказания принудительные работы(2015),виды основного наказания содержание в дисциплинарной воинской части(2015),виды основного наказания условное осуждение к иным мерам(2015),виды основного наказания условное осуждение к лишению свободы(2015),виды основного наказания штраф (осн. наказание)(2015),всего осуждено(2015),"деяние совершено при обстоятельствах, исключающих преступность  крайняя необходимость (статья 39 ук рф)(2015)","деяние совершено при обстоятельствах, исключающих преступность  необходимая оборона (статья 37 ук рф)(2015)","деяние совершено при обстоятельствах, исключающих преступность  обстоятельства, предусмотренные статьями             38, 40 42 ук рф(2015)",дополнительное наказание лишение права занимать опр. должности или заниматься опр. деятельностью (дополнительное наказание)(2015),"дополнительное наказание лишение специального, воинского или почетного звания, классного чина и государственных наград(2015)",дополнительное наказание ограничение свободы (доп. наказание)(2015),дополнительное наказание штраф (дополнительное наказание)(2015),оправдано(2015),по приговору освобождено осужденных от наказания   от иных мер или наказание не назначалось(2015),по приговору освобождено осужденных от наказания   по др. основаниям от лишения свободы(2015),по приговору освобождено осужденных от наказания  по амнистии(2015),,,,,,,прекращено  в связи с деятельным раскаянием(2015),"прекращено за отсутствием состава, события, непричастности к преступлению",прекращено за примирением с потерпевшим(2015),прекращено из графы 22 на основании примечаний к статьям ук (в связи с деятельным раскаянием ч.2 ст. 28 упк рф),,прекращено по амнистии(2015),прекращено по другим основаниям(2015),"преступление не является оконченным (приготовление, покушение)(2015)",принудительные меры к невменяемым(2015),статьи ук рф(2015),,,,,,,,,
2016,виды основного наказания арест(2016),виды основного наказания исправительные работы(2016),виды основного наказания лишение права занимать определенные должности или заниматься определенной деятельностью (основное наказание)(2016),виды основного наказания лишение свободы(2016),виды основного наказания обязательные работы(2016),виды основного наказания ограничение по военной службе(2016),виды основного наказания ограничение свободы (основное наказание)(2016),,виды основного наказания пожизненное лишение свободы(2016),виды основного наказания принудительные работы  (введение в действие отложено до 01.01.2017),виды основного наказания содержание в дисциплинарной воинской части(2016),виды основного наказания условное осуждение к иным мерам(2016),виды основного наказания условное осуждение к лишению свободы(2016),виды основного наказания штраф (основное наказание)(2016),всего осуждено(2016),"деяние совершено при обстоятельствах, исключающих преступность  крайняя необходимость (статья 39 ук рф)(2016)","деяние совершено при обстоятельствах, исключающих преступность  необходимая оборона (статья 37 ук рф)(2016)","деяние совершено при обстоятельствах, исключающих преступность  обстоятельства, предусмотренные статьями             38, 40 42 ук рф(2016)",дополнительное наказание лишение права занимать  определенные должности или заниматься  определенной деятельностью (дополнительное наказание)(2016),"дополнительное наказание лишение специального, воинского или почетного звания, классного чина и государственных наград(2016)",дополнительное наказание ограничение свободы (дополнительное наказание)(2016),дополнительное наказание штраф (дополнительное наказание)(2016),оправдано(2016),по приговору освобождено осужденных от наказания   от иных мер или наказание не назначалось(2016),по приговору освобождено осужденных от наказания   по другим основаниям от лишения свободы(2016),по приговору освобождено осужденных от наказания  по амнистии(2016),,,,,,,прекращено  в связи с деятельным раскаянием(2016),"прекращено за отсутствием состава, события, непричастностью к преступлению",прекращено за примирением с потерпевшим(2016),прекращено из графы 22 на основании примечаний к статьям ук  рф (в связи с деятельным раскаянием ч.2 ст. 28 упк рф),,прекращено по амнистии(2016),прекращено по другим основаниям(2016),"преступление не является оконченным (приготовление, покушение)(2016)",принудительные меры к невменяемым(2016),статьи ук рф(2016),,,,,,,,,
2017,виды основного наказания арест(2017),виды основного наказания исправительные работы(2017),виды основного наказания лишение права занимать определенные должности или заниматься определенной деятельностью (основное наказание)(2017),виды основного наказания лишение свободы(2017),виды основного наказания обязательные работы(2017),виды основного наказания ограничение по военной службе(2017),виды основного наказания ограничение свободы (основное наказание)(2017),,виды основного наказания пожизненное лишение свободы(2017),виды основного наказания принудительные работы(2017),виды основного наказания содержание в дисциплинарной воинской части(2017),виды основного наказания условное осуждение к иным мерам(2017),виды основного наказания условное осуждение к лишению свободы(2017),виды основного наказания штраф (основное наказание)(2017),всего осуждено(2017),"деяние совершено при обстоятельствах, исключающих преступность  крайняя необходимость (ст. 39 ук рф)(2017)","деяние совершено при обстоятельствах, исключающих преступность  необходимая оборона (ст. 37 ук рф)(2017)","деяние совершено при обстоятельствах, исключающих преступность  обстоятельства, предусмотренные статьями 38, 40 42 ук рф(2017)",дополнительное наказание лишение права занимать  определенные должности или заниматься  определенной деятельностью (дополнительное наказание)(2017),"дополнительное наказание лишение специального, воинского или почетного звания, классного чина и государственных наград(2017)",дополнительное наказание ограничение свободы (дополнительное наказание)(2017),дополнительное наказание штраф (дополнительное наказание)(2017),оправдано(2017),по приговору освобождено осужденных от наказания    от иных мер или наказание не назначалось,по приговору освобождено осужденных от наказания   по другим основаниям  от лишения свободы,по приговору освобождено осужденных от наказания  по амнистии(2017),,,,,,,прекращено  в связи с деятельным раскаянием (ч.1 ст. 28 упк рф)(2017),"прекращено за отсутствием события, состава , непричастностью к преступлению ( п. 1, 2 ч. 1 ст. 24 упк рф, ч. 2 ст. 24 упк рф)(2017)",прекращено за примирением с потерпевшим ( ст. 25 упк рф)(2017),прекращено из графы 24 на основании примечаний к статьям ук  рф (в связи с деятельным раскаянием ч. 2 ст. 28 упк рф),прекращено назначена мера уголовноправового характера судебный штраф                                 (ст. 25.1 упк рф)(2017),прекращено по амнистии(2017),прекращено по другим основаниям(2017),"преступление не является оконченным (приготовление, покушение)(2017)",принудительные меры к невменяемым(2017),статьи ук рф(2017),,,,,,,,,
2018,виды основного наказания арест,виды основного наказания исправительные работы,виды основного наказания лишение права занимать определенные должности или заниматься определенной деятельностью,виды основного наказания лишение свободы,виды основного наказания обязательные работы,виды основного наказания ограничение по военной службе,виды основного наказания ограничение свободы,,виды основного наказания пожизненное лишение свободы,виды основного наказания принудительные работы,виды основного наказания содержание в дисциплинарной воинской части,виды основного наказания условное осуждение к иным мерам,виды основного наказания условное осуждение к лишению свободы,виды основного наказания штраф,всего осуждено,"деяние совершено при обстоятельствах, исключающих преступность  крайняя необходимость (ст. 39 ук рф)","деяние совершено при обстоятельствах, исключающих преступность  необходимая оборона (ст. 37 ук рф)","деяние совершено при обстоятельствах, исключающих преступность  обстоятельства, предусмотренные статьями 38, 40 42 ук рф",дополнительное наказание лишение права занимать определенные должности или заниматься определенной деятельностью,"дополнительное наказание лишение специального, воинского или почетного звания, классного чина и государственных наград",дополнительное наказание ограничение свободы,дополнительное наказание штраф,оправдано,по приговору освобождено осужденных от наказания    от иных мер или наказание не назначалось,по приговору освобождено осужденных от наказания   по другим основаниям  от лишения свободы,по приговору освобождено осужденных от наказания  по амнистии,,,,,,,прекращено  в связи с деятельным раскаянием (ст. 28 упк рф),"прекращено за отсутствием события, состава, непричастностью к преступлению (п. 1, 2 ч. 1 ст. 24 упк рф, ч. 2 ст. 24 упк рф)",прекращено за примирением с потерпевшим (ст. 25 упк рф),прекращено из графы 22 на основании примечаний к статьям ук рф (в связи с деятельным раскаянием ч. 2 ст. 28 упк рф),прекращено назначена мера уголовноправового характера судебный штраф (ст. 25.1 упк рф),прекращено по амнистии,прекращено по другим основаниям,"преступление не является оконченным (приготовление, покушение)",принудительные меры к невменяемым,статьи ук рф,,,,,,,,,
2019,виды основного наказания арест,виды основного наказания исправительные работы,виды основного наказания лишение права занимать определенные должности или заниматься определенной деятельностью,виды основного наказания лишение свободы,виды основного наказания обязательные работы,виды основного наказания ограничение по военной службе,виды основного наказания ограничение свободы,,виды основного наказания пожизненное лишение свободы,виды основного наказания принудительные работы,виды основного наказания содержание в дисциплинарной воинской части,виды основного наказания условное осуждение к иным мерам,виды основного наказания условное осуждение к лишению свободы,виды основного наказания штраф,всего осуждено,"деяние совершено при обстоятельствах, исключающих преступность  крайняя необходимость (ст. 39 ук рф)","деяние совершено при обстоятельствах, исключающих преступность  необходимая оборона (ст. 37 ук рф)","деяние совершено при обстоятельствах, исключающих преступность  обстоятельства, предусмотренные статьями 38, 40 42 ук рф",дополнительное наказание лишение права занимать определенные должности или заниматься определенной деятельностью,"дополнительное наказание лишение специального, воинского или почетного звания, классного чина и государственных наград",дополнительное наказание ограничение свободы,дополнительное наказание штраф,оправдано,,,,"по приговору освобождено осужденных от наказания или наказание не назначалось  в связи с зачетом срока содержания под стражей, домашнего ареста от лишения свободы","по приговору освобождено осужденных от наказания или наказание не назначалось  в связи с зачетом срока содержания под стражей, домашнего ареста  от иных мер",по приговору освобождено осужденных от наказания или наказание не назначалось  по амнистии от лишения свободы,по приговору освобождено осужденных от наказания или наказание не назначалось  по амнистии  от иных мер,по приговору освобождено осужденных от наказания или наказание не назначалось  по другим основаниям от лишения свободы,по приговору освобождено осужденных от наказания или наказание не назначалось  по другим основаниям  от иных мер,прекращено  в связи с деятельным раскаянием (ст. 28 упк рф),"прекращено за отсутствием события, состава, непричастностью к преступлению (п. 1, 2 ч. 1 ст. 24 упк рф, ч. 2 ст. 24 упк рф)",прекращено за примирением с потерпевшим (ст. 25 упк рф),прекращено из графы 25 на основании примечаний к статьям ук рф (в том числе в связи с деятельным раскаянием ч. 2 ст. 28 упк рф),прекращено назначена мера уголовноправового характера судебный штраф (ст. 25.1 упк рф),прекращено по амнистии,прекращено по другим основаниям,"преступление не является оконченным (приготовление, покушение)",принудительные меры к невменяемым,статьи ук рф,,,,,,,,,